일자,시가,고가,저가,종가,거래량
20171114,56380,56740,55920,55920,134500
20171115,55920,56319,55320,55340,176339
20171116,55440,56000,55400,55780,152814
20171117,56399,56880,55820,55820,214663
20171120,55900,55980,55200,55200,189455
20171121,55400,55839,55280,55280,206494
20171122,55980,56200,55620,55960,159059
20171123,55960,55979,55020,55300,125458
20171124,55300,55500,55180,55460,90724
20171127,55360,55360,52640,52640,362578
20171128,52699,53280,51720,53280,269988
20171129,53200,53240,52500,52600,191805
20171130,50800,51860,50200,50800,592683
20171201,50800,51780,50800,50840,257372
20171204,50840,51340,50020,51340,297301
20171205,50600,51300,50280,51260,186531
20171206,51260,51560,50020,50020,217784
20171207,50040,50980,50020,50740,221312
20171208,51360,52000,51040,52000,225809
20171211,52000,52040,51500,51780,162517
20171212,51820,52100,51660,52100,175301
20171213,52100,52100,51100,51320,226674
20171214,51320,52280,51060,51060,406208
20171215,51240,51480,50520,50620,298571
20171218,50620,51240,50620,51200,147005
20171219,51540,52080,51520,51560,239572
20171220,51500,51760,50820,50880,201611
20171221,51000,51060,49100,49140,312486
20171222,49400,49960,49240,49700,223993
20171226,49760,50100,48200,48200,320797
20171227,48960,49560,48460,49360,214872
20171228,49560,50960,49500,50960,179709
20180102,51380,51400,50780,51020,169485
20180103,52540,52560,51420,51620,200270
20180104,52120,52180,50640,51080,233909
20180105,51300,52120,51200,52120,189623
20180108,52400,52520,51500,52020,167673
20180109,51460,51720,49980,50400,360272
20180110,50500,50520,48640,48840,371336
20180111,48200,49260,48020,48240,502476
20180112,48240,48480,46760,48200,545409
20180115,48800,48980,47920,48540,201920
20180116,48760,50140,48620,50000,407793
20180117,50020,50020,49060,49620,221061
20180118,50020,50640,49820,49900,296977
20180119,50380,50380,49040,49320,184399
20180122,48640,48680,47960,48240,250418
20180123,48660,49160,48300,49160,270654
20180124,48860,49700,48560,49340,191010
20180125,49220,50360,49160,50260,223207
20180126,50500,50780,49840,50780,207002
20180129,51200,51480,50900,51220,236776
20180130,50440,50640,49780,49800,245691
20180131,50020,54140,49600,49900,1293626
20180201,50620,50960,49720,49820,552189
20180202,49380,49400,47700,47700,585207
20180205,46500,48320,46000,47920,567158
20180206,46600,47920,46580,47420,388129
20180207,48240,48260,45800,45800,468961
20180208,46120,46620,45980,46000,465021
20180209,44440,45180,44420,44700,349300
20180212,45100,46320,45040,45720,315099
20180213,46200,48060,46200,47540,378465
20180214,48080,49100,47940,49000,378118
20180219,49800,49800,47860,48380,307069
20180220,48040,48160,47220,47400,202452
20180221,47280,47580,46840,47280,257604
20180222,47260,47260,46760,46760,177399
20180223,46760,47800,46760,47220,248466
20180226,47280,47560,47080,47380,191213
20180227,48360,48380,47380,47380,196611
20180228,47380,48100,47000,47060,303247
20180302,46580,46800,46000,46020,265310
20180305,45820,46160,45080,45200,282019
20180306,45920,47100,45820,47020,308467
20180307,48200,48900,47220,48620,428541
20180308,49200,49480,48080,49200,389273
20180309,49440,50540,49240,49740,286088
20180312,50560,50780,49580,49740,173779
20180313,50760,51660,50360,51660,401974
20180314,51020,52000,51000,51760,254265
20180315,52000,52020,51020,51540,177649
20180316,51220,51420,50240,51140,243698
20180319,50620,51340,50440,50740,164377
20180320,50700,51200,50100,51200,163865
20180321,51780,51780,51060,51060,178104
20180322,51060,51780,51040,51780,169082
20180323,50340,50720,49600,49720,297099
20180326,49420,50280,49040,50280,201155
20180327,50320,50460,49080,49980,237480
20180328,49100,49100,48340,48700,303189
20180329,48700,49560,48320,49040,201340
20180330,49080,49900,49080,49220,155542
20180402,49000,49220,48500,48540,142313
20180403,47880,48140,47280,48120,255365
20180404,48160,48260,46920,46920,247684
20180405,47400,49380,47340,48740,264912
20180406,48000,48580,47400,48400,250654
20180409,48260,49440,48200,49200,199008
20180410,48540,49220,48040,48880,219687
20180411,49900,49900,48600,48860,201022
20180412,49440,49440,48880,49000,249325
20180413,49600,50180,49400,49800,205566
20180416,50320,50600,49860,50340,157549
20180417,50240,50540,49820,49980,155440
20180418,51000,51360,50580,51360,269252
20180419,52000,52980,51540,52780,343811
20180420,51800,52260,51420,51620,235220
20180423,51000,52080,51000,51900,232380
20180424,51840,51860,50080,50460,315406
20180425,49220,50500,49220,50400,332292
20180426,50420,52160,50400,52140,360931
20180427,53380,53639,52440,53000,606216
20180430,0,0,0,53000,0
20180502,0,0,0,53000,0
20180503,0,0,0,53000,0
20180504,53000,53900,51800,51900,39565391
20180508,52600,53200,51900,52600,23104720
20180509,52600,52800,50900,50900,16128305
20180510,51700,51700,50600,51600,13905263
20180511,52000,52200,51200,51300,10314997
20180514,51000,51100,49900,50100,14909272
20180515,50200,50400,49100,49200,18709146
20180516,49200,50200,49150,49850,15918683
20180517,50300,50500,49400,49400,10365440
20180518,49900,49900,49350,49500,6706570
20180521,49650,50200,49100,50000,9020998
20180523,50600,52000,50400,51800,17095490
20180524,52000,52000,51100,51400,8289275
20180525,51000,52800,50800,52700,15207266
20180528,52500,53000,52000,52300,9787820
20180529,52200,52500,51300,51300,8480437
20180530,51300,51500,49100,49500,20498098
20180531,50400,50800,49850,50700,63491109
20180601,50500,51700,49950,51300,13038499
20180604,50800,51200,50700,51100,9767171
20180605,51100,51400,50400,51300,9144100
20180607,51800,51800,50500,50600,13590016
20180608,50200,50400,49600,49650,16951706
20180611,49750,50300,49350,49900,10571312
20180612,49700,49800,49250,49400,12110569
